Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
NCLIND,NCL INDUSTRIES LIMITED,Regulation 7 (2),Original,02-Sep-2026 19:51:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260902_195155464_WEB.html,502168,NCLIND,NOTLISTED,M.DIVYA BHARATHI,,3,Equity,Promoter Group,G.T.SANDEEP,,44722,0.10%,15000,"2,662,500.00",Sell,29722,0.07%,01-09-2026,01-09-2026,Inter-se-Transfer,02-09-2026,,
OBCL,OBCL LIMITED,Regulation 7 (2),Original,02-Sep-2026 17:59:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20443_20260902_175910303_WEB.html,541206,OBCL,NOTLISTED,MUSKAAN GUPTA,,1,Equity,Promoter Group,OBCL INFRASTRUCTURE PRIVATE LIMITED,U45201CT2007PTC020300,2331246,11.05%,7489,"409,902.00",Buy,2338735,11.09%,31-08-2026,02-09-2026,Market Purchase,02-09-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,02-Sep-2026 16:43:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260902_164338309_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,,1,Equity,Trust,Info Edge Employees Stock Option Plan Trust,,431770,0.07%,1572,"3,144.00",Sell,430198,0.07%,31-08-2026,31-08-2026,ESOP,01-09-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,02-Sep-2026 16:43:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260902_164338309_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,,2,Equity,Designated Person,Niraj Seth,,25497,0.00%,900,"1,228,500.00",Sell,24597,0.00%,01-09-2026,01-09-2026,Market Sale,02-09-2026,,
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,Regulation 7 (2),Original,02-Sep-2026 15:58:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_481_20260902_155808250_WEB.html,507785,TAINWALCHM,NOTLISTED,Divya Saboo,,1,Equity,Promoter Group,PERIWINKLE FASHIONS PRIVATE LIMITED,U74994MH2004PTC144846,47457,0.50%,168,"34,776.00",Buy,47625,0.51%,01-09-2026,01-09-2026,Market Purchase,02-09-2026,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,Regulation 7 (2),Original,02-Sep-2026 13:04:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22933_20260902_130431804_WEB.html,523023,SINCLAIR,NOTLISTED,DIPAK KUMAR SHAW,,1,Equity,Promoter,NAVIN CHAND SUCHANTI,00273663,3711496,7.23%,15518,"1,294,817.00",Buy,3727014,7.26%,31-08-2026,01-09-2026,Market Purchase,02-09-2026,,
BLBLIMITED,BLB LIMITED,Regulation 7 (2),Original,02-Sep-2026 12:03:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260902_120346829_WEB.html,532290,BLBLIMITED,NOTLISTED,Nishant Garud,,1,Equity,Promoter and Director,Brij Rattan Bagri,00007441,24524731,46.39%,57234,"917,461.00",Buy,24581965,46.50%,01-09-2026,01-09-2026,Market Purchase,02-09-2026,,
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,Regulation 7 (2),Original,02-Sep-2026 10:24:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260902_102438386_WEB.html,531400,ALMONDZ,NOTLISTED,AJAY PRATAP,,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,337858,0.17%,150000,"2,624,105.00",Buy,487858,0.25%,01-09-2026,01-09-2026,Market Purchase,02-09-2026,,
INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED,Regulation 7 (2),Original,01-Sep-2026 19:36:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16166_20260901_193658587_WEB.html,541336,INDOSTAR,NOTLISTED,SHIKHA JAIN,,1,Equity,Other,SHIVJEET SANJAY DESHMUKH,,7255,0.00%,164,"40,250.00",Sell,7091,0.00%,31-08-2026,31-08-2026,Market Sale,01-09-2026,,
INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED,Regulation 7 (2),Original,01-Sep-2026 19:36:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16166_20260901_193658587_WEB.html,541336,INDOSTAR,NOTLISTED,SHIKHA JAIN,,2,Equity,Other,SHIVJEET SANJAY DESHMUKH,,7091,0.00%,7091,"1,740,330.00",Sell,0,0.00%,31-08-2026,31-08-2026,Market Sale,01-09-2026,,
TTL,T T LIMITED,Regulation 7 (2),Original,01-Sep-2026 18:43:02,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2534_20260901_184302399_WEB.html,514142,TTL,NOTLISTED,VIMAL JAIN,,1,Equity,Promoter Group,T. T. BRANDS LIMITED,,89619420,34.69%,160741,"1,070,092.00",Buy,89780161,34.75%,31-08-2026,01-09-2026,Market Purchase,01-09-2026,,
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,Regulation 7 (2),Original,01-Sep-2026 17:23:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3067_20260901_172346316_WEB.html,533158,THANGAMAYL,NOTLISTED,CS K NARAYANAN,,1,Equity,Promoter,NARAYANAN BALUSAMY KUMAR,01511576,5456172,17.55%,925,"4,957,111.00",Buy,5457097,17.56%,31-08-2026,31-08-2026,Market Purchase,01-09-2026,,
RAMCOIND,RAMCO INDUSTRIES LIMITED,Regulation 7 (2),Original,01-Sep-2026 17:02:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1560_20260901_170254059_WEB.html,532369,RAMCOIND,NOTLISTED,S BALAMURUGASUNDARAM,,1,Equity,Other,N K SHRIKANTAN RAJA (HUF),00350693,14537,0.02%,2470,"810,261.00",Sell,12067,0.01%,31-08-2026,31-08-2026,Market Sale,01-09-2026,,
SILVERTUC,SILVER TOUCH TECHNOLOGIES LIMITED,Regulation 7 (2),Original,01-Sep-2026 16:12:20,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15598_20260901_161220738_WEB.html,543525,SILVERTUC,NOTLISTED,Rahul Girdharilal Advani,,1,Equity,Promoter and Director,Vipul Haridas Thakkar,00169558,26843760,21.17%,14000,"2,387,180.00",Buy,26857760,21.18%,31-08-2026,31-08-2026,Market Purchase,01-09-2026,,
FUSION,FUSION FINANCE LIMITED,Regulation 7 (2),Original,01-Sep-2026 15:52:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19884_20260901_155224594_WEB.html,543652,FUSION,NOTLISTED,Vikrant Sadana,,1,Equity,Designated Person,Satish Mani,,59000,0.04%,7500,"1,237,275.00",Buy,66500,0.04%,31-08-2026,31-08-2026,ESOP,31-08-2026,,
FUSION,FUSION FINANCE LIMITED,Regulation 7 (2),Original,01-Sep-2026 15:52:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19884_20260901_155224594_WEB.html,543652,FUSION,NOTLISTED,Vikrant Sadana,,2,Equity,Designated Person,Amit Raj,,2000,0.00%,4950,"816,602.00",Buy,6950,0.00%,31-08-2026,31-08-2026,ESOP,31-08-2026,,
FUSION,FUSION FINANCE LIMITED,Regulation 7 (2),Original,01-Sep-2026 15:52:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19884_20260901_155224594_WEB.html,543652,FUSION,NOTLISTED,Vikrant Sadana,,3,Equity,Other,Aayush Saraswat,,0,0.00%,6250,"956,875.00",Buy,6250,0.00%,29-08-2026,29-08-2026,ESOP,29-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,01-Sep-2026 15:25:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260901_152505002_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,,1,Equity,Promoter,Rohit Gupta HUF,,408109,1.79%,10000,"2,300,000.00",Buy,418109,1.83%,27-08-2026,27-08-2026,Market Purchase,31-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,01-Sep-2026 15:25:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260901_152505002_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,,2,Equity,Promoter,Rohit Gupta HUF,,418109,1.83%,8049,"1,835,172.00",Buy,426158,1.87%,28-08-2026,28-08-2026,Market Purchase,31-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,01-Sep-2026 15:25:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260901_152505002_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,,3,Equity,Promoter,Rohit Gupta HUF,,426158,1.87%,8528,"1,944,384.00",Buy,434686,1.90%,28-08-2026,28-08-2026,Market Purchase,31-08-2026,,
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,Regulation 7 (2),Original,01-Sep-2026 13:52:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_481_20260901_135246310_WEB.html,507785,TAINWALCHM,NOTLISTED,Divya Saboo,,1,Equity,Promoter Group,PERIWINKLE FASHIONS PRIVATE LIMITED,U74994MH2004PTC144846,46457,0.49%,1000,"215,000.00",Buy,47457,0.50%,27-08-2026,27-08-2026,Market Purchase,31-08-2026,,
ECLERX,eClerx Services Ltd,Regulation 7 (2),Original,01-Sep-2026 12:57:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2698_20260901_125710447_WEB.html,532927,ECLERX,NOTLISTED,Pratik Bhanushali,,1,Equity,Trust,Eclerx Employee Welfare,,2189956,2.33%,2675,"5,410,051.00",Sell,2187281,2.33%,31-08-2026,31-08-2026,Market Sale,31-08-2026,,
VSTL,VIBHOR STEEL TUBES LIMITED,Regulation 7 (2),Original,01-Sep-2026 10:30:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22607_20260901_103035441_WEB.html,544124,VSTL,NOTLISTED,PALLAVI AGGARWAL,,1,Equity,Promoter and Director,VIJAY KUMAR KAUSHIK,02249672,4185000,22.07%,15000,"1,674,120.00",Buy,4200000,22.15%,31-08-2026,31-08-2026,Market Purchase,01-09-2026,,
ZEEL,Zee Entertainment Enterprises Limited,Regulation 7 (2),Original,31-Aug-2026 19:41:04,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1105_20260831_194104698_WEB.html,505537,ZEEL,NOTLISTED,Ashish Agarwal,,1,Warrant,Promoter Group,"Sunbright Mauritius
Investments Limited",,209447805,17.90%,24059266,"757,866,879.00",Buy,233507071,19.56%,27-08-2026,27-08-2026,Preferential Offer,31-08-2026,,
INDOCO,INDOCO REMEDIES LIMITED,Regulation 7 (2),Original,31-Aug-2026 17:56:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2257_20260831_175634950_WEB.html,532612,INDOCO,NOTLISTED,SUNDEEP V BAMBOLKAR,,1,Equity,Promoter and Director,ADITI M. PANANDIKAR,00179113,2917158,3.16%,5000,"1,224,240.00",Buy,2922158,3.17%,28-08-2026,31-08-2026,Market Purchase,31-08-2026,,
INDOCO,INDOCO REMEDIES LIMITED,Regulation 7 (2),Original,31-Aug-2026 17:56:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2257_20260831_175634950_WEB.html,532612,INDOCO,NOTLISTED,SUNDEEP V BAMBOLKAR,,2,Equity,Promoter,MADHURA SURESH KARE,01760887,2479513,2.69%,5000,"1,224,220.00",Buy,2484513,2.69%,28-08-2026,31-08-2026,Market Purchase,31-08-2026,,
LIBAS,Libas Consumer Products Limited,Regulation 7 (2),Original,31-Aug-2026 17:30:20,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14456_20260831_173020315_WEB.html,000000,LIBAS,NOTLISTED,Aman Ganji,,1,Equity,Promoter and Director,Riyaz Ganji,02236203,4454266,16.91%,79566,"874,081.00",Buy,4533832,17.21%,26-08-2026,27-08-2026,Market Purchase,31-08-2026,,
INFOBEAN,INFOBEANS TECHNO. LTD.,Regulation 7 (2),Original,31-Aug-2026 16:44:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14975_20260831_164400483_WEB.html,543644,INFOBEAN,NOTLISTED,SURBHI JAIN,,1,Equity,Promoter Group,Shashikala Bohra,L72200MP2011PLC025622,3447800,3.55%,467909,"79,226,352.00",Sell,2979891,3.07%,28-08-2026,28-08-2026,Market Sale,31-08-2026,,
BIL,BHARTIYA INTERNATIONAL LIMITED,Regulation 7 (2),Original,31-Aug-2026 16:07:32,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1877_20260831_160732552_WEB.html,526666,BIL,NOTLISTED,YOGESH KUMAR GAUTAM,,1,Equity,KMP,RAJ KUMAR CHAWLA,,1527,0.01%,4800,"4,239,160.00",Buy,6327,0.05%,28-08-2026,28-08-2026,Market Purchase,29-08-2026,,
BIL,BHARTIYA INTERNATIONAL LIMITED,Regulation 7 (2),Original,31-Aug-2026 16:07:32,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1877_20260831_160732552_WEB.html,526666,BIL,NOTLISTED,YOGESH KUMAR GAUTAM,,2,Equity,Employee,CHANDAN RASTOGI,,0,0.00%,500,"427,500.00",Buy,500,0.00%,31-08-2026,31-08-2026,Market Purchase,31-08-2026,,
VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED,Regulation 7 (2),Original,31-Aug-2026 15:41:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21894_20260831_154126771_WEB.html,543974,VPRPL,NOTLISTED,VISHNU PRAKASH PUNGLIA,,1,Equity,Promoter Group,Vijay Punglia,,3815000,3.06%,350000,"11,546,500.00",Pledge Revoke,4165000,3.34%,27-08-2026,27-08-2026,Revocation of Pledge,31-08-2026,,
AARTIPHARM,Aarti Pharmalabs Limited,Regulation 7 (2),Original,31-Aug-2026 14:39:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21272_20260831_143906615_WEB.html,543748,AARTIPHARM,NOTLISTED,Jeevan Mondkar,,1,Equity,Promoter Group,Safechem Enterprises Private Limited,,455750,0.50%,600,"511,888.00",Sell,455150,0.50%,26-08-2026,27-08-2026,Market Sale,27-08-2026,,
BCONCEPTS,BRAND CONCEPTS LIMITED,Regulation 7 (2),Original,31-Aug-2026 13:10:44,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15702_20260831_131044571_WEB.html,543442,BCONCEPTS,NOTLISTED,Swati Gupta,,1,Equity,Director,Govind Shridhar Shrikhande,00029419,15827,0.12%,3163,"503,647.00",Buy,18990,0.15%,27-08-2026,27-08-2026,Market Purchase,28-08-2026,,
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,Regulation 7 (2),Revision,31-Aug-2026 12:10:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_481_20260831_121046633_WEB.html,507785,TAINWALCHM,NOTLISTED,Divya Saboo,,1,Equity,Designated Person,Mahendra Kumar Singhania,,25000,0.27%,25000,"4,831,250.00",Sell,0,0.00%,09-06-2026,09-06-2026,Off Market,10-06-2026,,
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,Regulation 7 (2),Revision,31-Aug-2026 12:10:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_481_20260831_121046633_WEB.html,507785,TAINWALCHM,NOTLISTED,Divya Saboo,,2,Equity,Promoter Group,Periwinkle Fashions Private Limited,U74994MH2004PTC144846,8844,0.09%,25000,"4,831,250.00",Buy,33844,0.36%,09-06-2026,09-06-2026,Off Market,10-06-2026,,
DIVISLAB,Divi's Laboratories Limited,Regulation 7 (2),Original,31-Aug-2026 11:08:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2132_20260831_110842670_WEB.html,532488,DIVISLAB,NOTLISTED,M. Satish Choudhury,,1,Equity,Immediate Relative,K. Sridevi,,3100,0.00%,200,"1,850,000.00",Sell,2900,0.00%,28-08-2026,28-08-2026,Market Sale,29-08-2026,,
NEOGEN,Neogen Chemicals Limited,Regulation 7 (2),Original,29-Aug-2026 19:23:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17441_20260829_192350298_WEB.html,542665,NEOGEN,NOTLISTED,Unnati Kanani,,1,Equity,Other,HEENA HITESH RESHAMWALA,,6173,0.02%,354,0.00,Sell,5819,0.02%,25-08-2026,25-08-2026,Gift,27-08-2026,,
NEOGEN,Neogen Chemicals Limited,Regulation 7 (2),Original,29-Aug-2026 19:23:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17441_20260829_192350298_WEB.html,542665,NEOGEN,NOTLISTED,Unnati Kanani,,2,Equity,Other,VIREN BHARATKUMAR RESHAMWALA .,,500,0.00%,354,0.00,Buy,854,0.00%,25-08-2026,25-08-2026,Gift,27-08-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,29-Aug-2026 17:08:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260829_170828470_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,1,Equity,Promoter Group,SMITA GOYAL,08929179,45320,0.47%,1035,"313,232.00",Buy,46355,0.49%,26-08-2026,26-08-2026,Market Purchase,27-08-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,29-Aug-2026 17:08:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260829_170828470_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,2,Equity,Promoter Group,SMITA GOYAL,08929179,46355,0.49%,1657,"510,373.00",Buy,48012,0.50%,27-08-2026,27-08-2026,Market Purchase,28-08-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,29-Aug-2026 17:08:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260829_170828470_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,3,Equity,Promoter Group,SMITA GOYAL,08929179,48012,0.50%,6682,"2,228,982.00",Buy,54694,0.57%,28-08-2026,28-08-2026,Market Purchase,29-08-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,29-Aug-2026 17:08:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260829_170828470_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,4,Equity,Promoter Group,SMITA GOYAL,08929179,54694,0.57%,600,"201,583.00",Buy,55294,0.58%,28-08-2026,28-08-2026,Market Purchase,29-08-2026,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,Regulation 7 (2),Original,29-Aug-2026 13:39:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22933_20260829_133928320_WEB.html,523023,SINCLAIR,NOTLISTED,DIPAK KUMAR SHAW,,1,Equity,Promoter,NAVIN CHAND SUCHANTI,00273663,3565505,6.95%,145991,"11,646,625.00",Buy,3711496,7.23%,27-08-2026,28-08-2026,Market Purchase,29-08-2026,,
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,Regulation 7 (2),Original,29-Aug-2026 11:27:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2246_20260829_112700422_WEB.html,532493,ASTRAMICRO,NOTLISTED,T ANJANEYULU,,1,Equity,Director,Atim Kabra,00003366,3356074,3.53%,391700,"660,799,564.00",Sell,2964374,3.12%,28-08-2026,28-08-2026,Market Sale,29-08-2026,,
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,Regulation 7 (2),Original,28-Aug-2026 21:41:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17510_20260828_214126275_WEB.html,526829,CONFIPET,NOTLISTED,Prity Bhabhra,,1,Equity,Promoter Group,Essenn LPG Bottling Private Limited,,32511981,9.79%,746000,"60,232,040.00",Buy,33257981,10.01%,26-08-2026,26-08-2026,Market Purchase,28-08-2026,,
RUBICON,RUBICON RESEARCH LIMITED,Regulation 7 (2),Original,28-Aug-2026 18:43:23,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24193_20260828_184323413_WEB.html,544578,RUBICON,NOTLISTED,DEEPASHREE TANKSALE,,1,Equity,Promoter,General Atlantic Singapore RR Pte Ltd,,59258360,35.79%,146927,"254,156,749.00",Sell,59111433,35.70%,25-08-2026,25-08-2026,Market Sale,26-08-2026,,
RUBICON,RUBICON RESEARCH LIMITED,Regulation 7 (2),Original,28-Aug-2026 18:43:23,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24193_20260828_184323413_WEB.html,544578,RUBICON,NOTLISTED,DEEPASHREE TANKSALE,,2,Equity,Promoter,General Atlantic Singapore RR Pte Ltd,,59111433,35.70%,13853073,"22,996,101,180.00",Sell,45258360,27.34%,26-08-2026,26-08-2026,Market Sale,26-08-2026,,
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,Regulation 7 (2),Original,28-Aug-2026 17:01:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2588_20260828_170146433_WEB.html,532842,SRHHYPOLTD,NOTLISTED,V Surekha,,1,Equity,Promoter Group,TGV Industries Private Limited,U28999AP2020PTC113982,14600,0.09%,2596,"1,226,875.00",Buy,17196,0.10%,28-08-2026,28-08-2026,Market Purchase,28-08-2026,,
BLBLIMITED,BLB LIMITED,Regulation 7 (2),Original,28-Aug-2026 12:53:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260828_125350565_WEB.html,532290,BLBLIMITED,NOTLISTED,Nishant Garud,,1,Equity,Promoter and Director,Brij Rattan Bagri,00007441,24439900,46.23%,24242,"388,842.00",Buy,24464142,46.28%,27-08-2026,27-08-2026,Market Purchase,28-08-2026,,
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,Regulation 7 (2),Original,28-Aug-2026 11:16:34,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260828_111634274_WEB.html,511589,AVONMORE,NOTLISTED,SONAL,,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,94584078,33.51%,20707,"285,045.00",Buy,94604785,33.52%,27-08-2026,27-08-2026,Market Purchase,28-08-2026,,
ESCORTS,ESCORTS KUBOTA LIMITED,Regulation 7 (2),Original,27-Aug-2026 20:51:25,https://nsearchives.nseindia.com/corporate/ixbrl/IT_224_20260827_205125376_WEB.html,500495,ESCORTS,NOTLISTED,VICKY CHAUHAN,,1,Equity,Promoter Group,NIKY TASHA PRIVATE LIMITED,U31909HR1981PTC113460,0,0.00%,2600,0.00,Buy,2600,0.00%,25-08-2026,25-08-2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,27-08-2026,,
ESCORTS,ESCORTS KUBOTA LIMITED,Regulation 7 (2),Original,27-Aug-2026 20:51:25,https://nsearchives.nseindia.com/corporate/ixbrl/IT_224_20260827_205125376_WEB.html,500495,ESCORTS,NOTLISTED,VICKY CHAUHAN,,2,Equity,Promoter Group,NIKY TASHA ENERGIES PRIVATE LIMITED,U74899HR1984PTC106347,1250,0.00%,1250,0.00,Sell,0,0.00%,25-08-2026,25-08-2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,27-08-2026,,
ESCORTS,ESCORTS KUBOTA LIMITED,Regulation 7 (2),Original,27-Aug-2026 20:51:25,https://nsearchives.nseindia.com/corporate/ixbrl/IT_224_20260827_205125376_WEB.html,500495,ESCORTS,NOTLISTED,VICKY CHAUHAN,,3,Equity,Promoter Group,NIKY TASHA COMMUNICATIONS PRIVATE LIMITED,U74899HR1984PTC106346,1350,0.00%,1350,0.00,Sell,0,0.00%,25-08-2026,25-08-2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,27-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,27-Aug-2026 19:22:02,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260827_192202443_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,3617088,1.72%,145568,"335,403.00",Sell,3471520,1.65%,27-08-2026,27-08-2026,Market Sale,27-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,27-Aug-2026 19:22:02,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260827_192202443_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,2,Equity,Director,Prashant Prahaladray Thakar,03179115,3471520,1.65%,33284,"76,719.00",Sell,3438236,1.63%,27-08-2026,27-08-2026,Market Sale,27-08-2026,,
HINDCOPPER,Hindustan Copper Limited,Regulation 7 (2),Original,27-Aug-2026 18:32:37,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3022_20260827_183237602_WEB.html,513599,HINDCOPPER,NOTLISTED,Mritunjay Kumar Dev,,1,Equity,Promoter,"The President of India acting through and represented by Ministry of Mines, Government of India",,639613373,66.14%,58037605,"30,448,780,891.00",Sell,581575768,60.14%,25-08-2026,26-08-2026,Market Sale,27-08-2026,,
VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED,Regulation 7 (2),Original,27-Aug-2026 17:37:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21894_20260827_173726519_WEB.html,543974,VPRPL,NOTLISTED,VISHNU PRAKASH PUNGLIA,,1,Equity,Promoter and Director,Ajay Pungalia,02162190,6650000,5.34%,175000,"5,873,000.00",Pledge Revoke,6650000,5.34%,24-08-2026,24-08-2026,Pledge Release,26-08-2026,,
VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED,Regulation 7 (2),Original,27-Aug-2026 17:37:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21894_20260827_173726519_WEB.html,543974,VPRPL,NOTLISTED,VISHNU PRAKASH PUNGLIA,,2,Equity,Promoter Group,Pushpa Devi Pungalia,,2535493,2.03%,2300000,"77,188,000.00",Pledge Revoke,2535493,2.03%,24-08-2026,24-08-2026,Pledge Release,26-08-2026,,
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,Regulation 7 (2),Original,27-Aug-2026 17:02:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1262_20260827_170255350_WEB.html,527001,ASHAPURMIN,NA,SACHIN POLKE,,1,Equity,Promoter,CHETAN NAVNITLAL SHAH,00018960,6627767,6.94%,25000,"14,607,763.00",Buy,6652767,6.96%,26-08-2026,26-08-2026,Market Purchase,26-08-2026,,
STEL,STEL HOLDINGS LIMITED,Regulation 7 (2),Original,27-Aug-2026 15:59:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260827_155908916_WEB.html,533316,STEL,NOTLISTED,SRUTHI SINDHU,,1,Equity,Promoter Group,SOFREAL MERCANTRADE PRIVATE LTD,U51103MH2012PTC236810,248788,1.35%,10724,"6,659,825.00",Buy,259512,1.41%,24-08-2026,24-08-2026,Market Purchase,26-08-2026,,
STEL,STEL HOLDINGS LIMITED,Regulation 7 (2),Original,27-Aug-2026 15:59:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260827_155908916_WEB.html,533316,STEL,NOTLISTED,SRUTHI SINDHU,,2,Equity,Promoter Group,SOFREAL MERCANTRADE PRIVATE LTD,U51103MH2012PTC236810,259512,1.41%,145,"89,465.00",Buy,259657,1.41%,24-08-2026,24-08-2026,Market Purchase,26-08-2026,,
